episode,reward,steps,epsilon,success
227,5.0,6,0.32050833588933575,1
228,-5.0,7,0.31890579420988907,1
229,-7.0,9,0.3173112652388396,1
230,-8.0,10,0.3157247089126454,1
231,-8.0,10,0.3141460853680822,1
232,-7.0,9,0.3125753549412418,1
233,3.0,8,0.31101247816653554,1
234,-15.0,8,0.30945741577570285,1
235,5.0,6,0.3079101286968243,1
236,-9.0,11,0.3063705780533402,1
237,1.0,10,0.30483872516307353,1
238,5.0,6,0.3033145315372582,1
239,1.0,10,0.3017979588795719,1
240,5.0,6,0.30028896908517405,1
241,-5.0,7,0.2987875242397482,1
242,5.0,6,0.29729358661854943,1
243,-11.0,22,0.29580711868545667,1
244,4.0,7,0.2943280830920294,1
245,5.0,6,0.29285644267656924,1
246,5.0,6,0.2913921604631864,1
247,4.0,7,0.28993519966087045,1
248,4.0,7,0.2884855236625661,1
249,5.0,6,0.28704309604425327,1
250,5.0,6,0.285607880564032,1
251,5.0,6,0.28417984116121187,1
252,1.0,10,0.2827589419554058,1
253,-6.0,8,0.28134514724562876,1
254,-1.0,12,0.2799384215094006,1
255,4.0,7,0.27853872940185365,1
256,4.0,7,0.27714603575484437,1
257,5.0,6,0.2757603055760701,1
258,-7.0,9,0.2743815040481898,1
259,5.0,6,0.2730095965279488,1
260,3.0,8,0.27164454854530906,1
261,-5.0,7,0.2702863258025825,1
262,5.0,6,0.2689348941735696,1
263,-11.0,13,0.26759021970270175,1
264,3.0,8,0.2662522686041882,1
265,4.0,7,0.2649210072611673,1
266,5.0,6,0.26359640222486147,1
267,4.0,7,0.26227842021373715,1
268,4.0,7,0.2609670281126685,1
269,5.0,6,0.25966219297210513,1
270,2.0,9,0.2583638820072446,1
271,3.0,8,0.2570720625972084,1
272,-5.0,7,0.25578670228422234,1
273,-13.0,15,0.25450776877280124,1
274,-6.0,17,0.2532352299289372,1
275,2.0,9,0.2519690537792925,1
276,4.0,7,0.2507092085103961,1
277,5.0,6,0.2494556624678441,1
278,4.0,7,0.24820838415550486,1
279,5.0,6,0.24696734223472733,1
280,-7.0,9,0.2457325055235537,1
281,-16.0,9,0.24450384299593592,1
282,5.0,6,0.24328132378095624,1
283,2.0,9,0.24206491716205145,1
284,2.0,9,0.2408545925762412,1
285,1.0,10,0.23965031961336,1
286,-6.0,8,0.2384520680152932,1
287,-5.0,7,0.23725980767521673,1
